file,width,height,size
843.jpg,850.0,1236.0,1050600.0
844.jpg,856.0,1200.0,1027200.0
845.jpg,1121.0,770.0,863170.0
846.jpg,900.0,1150.0,1035000.0
847.jpg,770.0,1003.0,772310.0
848.jpg,570.0,1357.0,773490.0
849.jpg,900.0,1117.0,1005300.0
850.jpg,1031.0,780.0,804180.0
851.jpg,801.0,983.0,787383.0
852.jpg,750.0,1355.0,1016250.0
853.jpg,1236.0,850.0,1050600.0
854.jpg,813.0,942.0,765846.0
855.jpg,1000.0,1103.0,1103000.0
856.jpg,900.0,1156.0,1040400.0
857.jpg,870.0,1025.0,891750.0
858.jpg,570.0,800.0,456000.0
859.jpg,1025.0,1200.0,1230000.0
860.jpg,872.0,1100.0,959200.0
861.jpg,848.0,1010.0,856480.0
862.jpg,939.0,1100.0,1032900.0
863.jpg,1200.0,1201.0,1441200.0
864.jpg,1400.0,1076.0,1506400.0
865.jpg,1400.0,1071.0,1499400.0
866.jpg,800.0,1222.0,977600.0
867.jpg,800.0,1231.0,984800.0
868.jpg,1000.0,1020.0,1020000.0
869.jpg,970.0,996.0,966120.0
870.jpg,1057.0,1100.0,1162700.0
871.jpg,1020.0,1042.0,1062840.0
872.jpg,589.0,800.0,471200.0
873.jpg,1054.0,1100.0,1159400.0
874.jpg,900.0,1255.0,1129500.0
875.jpg,803.0,1400.0,1124200.0
876.jpg,1032.0,920.0,949440.0
877.jpg,900.0,1065.0,958500.0
878.jpg,1541.0,550.0,847550.0
879.jpg,1472.0,550.0,809600.0
880.jpg,1422.0,550.0,782100.0
881.jpg,1400.0,1040.0,1456000.0
882.jpg,1076.0,950.0,1022200.0
883.jpg,1000.0,1197.0,1197000.0
884.jpg,978.0,800.0,782400.0
885.jpg,956.0,800.0,764800.0
886.jpg,1234.0,1000.0,1234000.0
887.jpg,1739.0,700.0,1217300.0
888.jpg,950.0,1089.0,1034550.0
889.jpg,600.0,1161.0,696600.0
890.jpg,500.0,1224.0,612000.0
891.jpg,900.0,903.0,812700.0
892.jpg,1000.0,1093.0,1093000.0
893.jpg,1571.0,600.0,942600.0
894.jpg,1521.0,600.0,912600.0
895.jpg,1000.0,1151.0,1151000.0
896.jpg,1166.0,1050.0,1224300.0
897.jpg,1050.0,1060.0,1113000.0
898.jpg,1100.0,1204.0,1324400.0
899.jpg,1000.0,1202.0,1202000.0
900.jpg,1101.0,1100.0,1211100.0
901.jpg,1022.0,1200.0,1226400.0
902.jpg,1151.0,950.0,1093450.0
903.jpg,863.0,1010.0,871630.0
904.jpg,800.0,1393.0,1114400.0
905.jpg,767.0,1200.0,920400.0
906.jpg,800.0,1745.0,1396000.0
907.jpg,900.0,1251.0,1125900.0
908.jpg,850.0,1086.0,923100.0
909.jpg,800.0,1401.0,1120800.0
910.jpg,750.0,1027.0,770250.0
911.jpg,744.0,1200.0,892800.0
912.jpg,857.0,1010.0,865570.0
913.jpg,862.0,1050.0,905100.0
914.jpg,862.0,1050.0,905100.0
915.jpg,800.0,1038.0,830400.0
917.jpg,900.0,1018.0,916200.0
918.jpg,900.0,997.0,897300.0
919.jpg,840.0,1166.0,979440.0
920.jpg,1000.0,1166.0,1166000.0
921.jpg,1424.0,700.0,996800.0
922.jpg,1000.0,1013.0,1013000.0
923.jpg,1051.0,735.0,772485.0
924.jpg,1291.0,850.0,1097350.0
925.jpg,944.0,1100.0,1038400.0
926.jpg,700.0,1455.0,1018500.0
927.jpg,1088.0,900.0,979200.0
928.jpg,1164.0,1150.0,1338600.0
929.jpg,900.0,1009.0,908100.0
930.jpg,703.0,1600.0,1124800.0
931.jpg,1745.0,700.0,1221500.0
932.jpg,930.0,900.0,837000.0
933.jpg,835.0,900.0,751500.0
934.jpg,700.0,1200.0,840000.0
935.jpg,800.0,1201.0,960800.0
936.jpg,700.0,1045.0,731500.0
937.jpg,1000.0,1042.0,1042000.0
938.jpg,1085.0,1300.0,1410500.0
939.jpg,1004.0,1300.0,1305200.0
946.jpg,1050.0,753.0,790650.0
947.jpg,855.0,750.0,641250.0
948.jpg,850.0,1011.0,859350.0
949.jpg,800.0,1532.0,1225600.0
954.jpg,1339.0,1100.0,1472900.0
957.jpg,750.0,1047.0,785250.0
958.jpg,1060.0,1500.0,1590000.0
960.jpg,900.0,1028.0,925200.0
961.jpg,1105.0,850.0,939250.0
969.jpg,714.0,1000.0,714000.0
970.jpg,550.0,753.0,414150.0
